site,block,plot,cage,Location_ID,tick id,date_death,days_elpsd,death_tf
Arid,1,Total,6,rocky_area,89,13-08-2019,22,1
Arid,1,Total,6,rocky_area,90,13-08-2019,22,1
Arid,1,Total,6,rocky_area,91,13-08-2019,22,1
Arid,1,Total,6,rocky_area,92,13-08-2019,22,1
Arid,1,Partial,7,under_oak,93,13-08-2019,22,1
Arid,1,Partial,7,under_oak,94,13-08-2019,22,1
Arid,1,Partial,7,under_oak,95,22-08-2019,31,1
Arid,1,Partial,7,under_oak,96,22-08-2019,31,1
Arid,1,Partial,8,open,97,13-08-2019,22,1
Arid,1,Partial,8,open,98,13-08-2019,22,1
Arid,1,Partial,8,open,99,13-08-2019,22,1
Arid,1,Partial,8,open,100,13-08-2019,22,1
Arid,2,Control,1,under_oak,101,13-08-2019,22,1
Arid,2,Control,1,under_oak,102,13-08-2019,22,1
Arid,2,Control,1,under_oak,103,13-08-2019,22,1
Arid,2,Control,1,under_oak,104,22-08-2019,31,1
Arid,2,Control,2,open,105,13-08-2019,22,1
Arid,2,Control,2,open,106,13-08-2019,22,1
Arid,2,Control,2,open,107,22-08-2019,31,1
Arid,2,Control,2,open,108,22-08-2019,31,1
Arid,2,Control,3,rocky_area,109,13-08-2019,22,1
Arid,2,Control,3,rocky_area,110,22-08-2019,31,1
Arid,2,Control,3,rocky_area,111,22-08-2019,31,1
Arid,2,Control,3,rocky_area,112,22-08-2019,31,1
Arid,2,Total,4,under_oak,113,13-08-2019,22,1
Arid,2,Total,4,under_oak,114,22-08-2019,31,1
Arid,2,Total,4,under_oak,115,22-08-2019,31,1
Arid,2,Total,4,under_oak,116,22-08-2019,31,1
Arid,2,Total,5,open,117,13-08-2019,22,1
Arid,2,Total,5,open,118,13-08-2019,22,1
Arid,2,Total,5,open,119,13-08-2019,22,1
Arid,2,Total,5,open,120,13-08-2019,22,1
Arid,2,Total,6,rocky_area,121,13-08-2019,22,1
Arid,2,Total,6,rocky_area,122,13-08-2019,22,1
Arid,2,Total,6,rocky_area,123,13-08-2019,22,1
Arid,2,Total,6,rocky_area,124,13-08-2019,22,1
Arid,2,Partial,7,under_oak,125,13-08-2019,22,1
Arid,2,Partial,7,under_oak,126,13-08-2019,22,1
Arid,2,Partial,7,under_oak,127,13-08-2019,22,1
Arid,2,Partial,7,under_oak,128,13-08-2019,22,1
Arid,2,Partial,8,open,129,13-08-2019,22,1
Arid,2,Partial,8,open,130,13-08-2019,22,1
Arid,2,Partial,8,open,131,22-08-2019,31,1
Arid,2,Partial,8,open,132,22-08-2019,31,1
